date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2024-11-13,601857,7.52,7.6,7.69,7.5,2233181,1803260184.0,2.52,0.93,0.07,0.14,,,,,,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,
2024-11-14,601857,7.56,7.56,7.68,7.55,1850581,1497145402.0,1.71,-0.53,-0.04,0.11,,,,,,,0,,,,,,,,,,,-0.00319088,-0.00063818,-0.00255271,,,,,,,,,-0.00526316,,
2024-11-15,601857,7.56,7.56,7.63,7.51,1853547,1489484687.0,1.59,0.0,0.0,0.11,,,,,,,0,,,,,,,,,,,-0.0056545,-0.00164144,-0.00401306,,,,,,,,,0,,
2024-11-18,601857,7.57,7.68,7.76,7.56,2782130,2270719679.0,2.65,1.59,0.12,0.17,,,,,,,0,,,,,,,,,,,0.0020524,-0.00090267,0.00295508,,,,,,,,,0.01587302,,
2024-11-19,601857,7.72,7.66,7.73,7.59,1697556,1375912252.0,1.82,-0.26,-0.02,0.1,,,,,,,0,,,,,,,7.612,,,,0.00647175,0.00057221,0.00589954,,,,,2083399,0.8148012,,,-0.00260417,,
2024-11-20,601857,7.63,7.66,7.68,7.59,1175677,953324000.0,1.17,0.0,0.0,0.07,,,,,,,0,,,,,,,7.624,,,,0.00986044,0.00242986,0.00743058,,,,,1871898.2,0.62806674,0.00789474,,0,0.13129306,
2024-11-21,601857,7.64,7.64,7.69,7.61,1034576,840590756.0,1.04,-0.26,-0.02,0.06,,,,,,,0,,,,,,,7.64,,,,0.01080759,0.0041054,0.00670219,,,,,1708697.2,0.6054765,0.01058201,0.00268727,-0.00261097,0.12368711,
2024-11-22,601857,7.66,7.54,7.72,7.54,1664004,1345765046.0,2.36,-1.31,-0.1,0.1,,,,,,,0,,,,,,,7.636,,,,0.00344929,0.00397418,-0.00052489,,,,,1670788.6,0.99593928,-0.0026455,-0.01322751,-0.01308901,0.16567607,
2024-11-25,601857,7.58,7.56,7.68,7.53,1515802,1222692183.0,1.99,0.27,0.02,0.09,,,,,,,0,,,,,,,7.612,,,,-0.00075963,0.00302742,-0.00378705,,,,,1417523,1.0693315,-0.015625,-0.0129795,0.00265252,0.09490318,
2024-11-26,601857,7.5,7.55,7.56,7.37,1313713,1044289900.0,2.51,-0.13,-0.01,0.08,,,,,,,0,,,,,,,7.59,7.601,,,-0.00484628,0.00145268,-0.00629896,,,,,1340754.4,0.97983121,-0.01436031,0.00126469,-0.00132275,0.09578269,
2024-11-27,601857,7.51,7.56,7.57,7.47,960155,767807338.0,1.32,0.13,0.01,0.06,,,,,,,0,,,,,,,7.57,7.597,,,-0.00719512,-0.00027688,-0.00691824,,,,,1297650,0.73991831,-0.01305483,0.00130548,0.0013245,0.09870351,
2024-11-28,601857,7.55,7.56,7.59,7.52,756555,607167983.0,0.93,0.0,0.0,0.05,,,,,,,0,,,,,,,7.554,7.597,,,-0.00895339,-0.00201218,-0.0069412,,,,,1242045.8,0.60912005,-0.0104712,0.00258363,0,0.10042592,
2024-11-29,601857,7.57,7.57,7.64,7.56,1291504,1042135820.0,1.06,0.13,0.01,0.08,,,,,,,0,,,,,,,7.56,7.598,,,-0.00943119,-0.00349598,-0.00593521,,,,,1167545.8,1.10616988,0.00397878,0.01444998,0.00132275,0.02397809,
2024-12-02,601857,7.59,7.55,7.6,7.52,1300252,1042573213.0,1.06,-0.26,-0.02,0.08,,,,,,,0,,0.12857143,0.01702933,,,,7.558,7.585,,,-0.0112935,-0.00505549,-0.00623802,,,,,1124435.8,1.15635948,-0.00132275,-0.00530153,-0.00264201,0.02736534,
2024-12-03,601857,7.54,7.63,7.63,7.51,1599734,1286566304.0,1.59,1.06,0.08,0.1,,,,,,,0,,0.12357143,0.01619547,,,,7.574,7.582,,,-0.00624211,-0.00529281,-0.0009493,,,,,1181640,1.35382519,0.01059603,0.01191878,0.01059603,0.0794846,
