date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2024-11-13,920252,15.67,16.76,16.83,15.02,127202,204769706.46,11.28,4.42,0.71,22.68,,,,,,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,
2024-11-14,920252,17.02,17.15,18.82,16.82,166464,296986361.86,11.93,2.33,0.39,29.68,,,,,,,0,,,,,,,,,,,0.03111111,0.00622222,0.02488889,,,,,,,,,0.02326969,,
2024-11-15,920252,16.07,17.21,18.24,15.44,148715,248910505.88,16.33,0.35,0.06,26.51,,,,,,,0,,,,,,,,,,,0.0599177,0.01696132,0.04295638,,,,,,,,,0.00349854,,
2024-11-18,920252,17.22,15.2,17.71,15.12,114886,188900823.33,15.05,-11.68,-2.01,20.48,,,,,,,0,,,,,,,,,,,-0.07853775,-0.0021385,-0.07639925,,,,,,,,,-0.11679256,,
2024-11-19,920252,14.56,19.77,19.77,13.27,241085,424015922.25,42.76,30.07,4.57,42.98,,,,,,,0,,,,,,,17.218,,,,0.17843919,0.03397704,0.14446215,,,,,159670.4,1.50989163,,,0.30065789,,
2024-11-20,920252,18.44,25.71,25.71,18.14,276824,600156287.58,38.29,30.05,5.94,49.35,,,,,,,0,,,,,,,19.008,,,,0.85158705,0.19749904,0.65408801,,,,,189594.8,1.46008224,0.53400955,,0.30045524,2.99751303,
2024-11-21,920252,27.05,23.94,30.82,23.94,294425,798132947.02,26.76,-6.88,-1.77,52.49,,,,,,,0,,,,,,,20.366,,,,1.22808083,0.4036154,0.82446543,,,,,215187,1.36822856,0.39591837,-0.13809118,-0.06884481,3.21388198,
2024-11-22,920252,22.82,23.44,26.93,22.16,214338,526227764.19,19.92,-2.09,-0.5,38.21,,,,,,,0,,,,,,,21.612,,,,1.46917332,0.61672698,0.85244634,,,,,228311.6,0.93879593,0.36199884,-0.03391953,-0.02088555,3.25664036,
2024-11-25,920252,22.74,26.9,28.49,22.74,224295,574736484.37,24.53,14.76,3.46,39.99,,,,,,,0,,,,,,,23.952,,,,1.91733213,0.87684801,1.04048412,,,,,250193.4,0.89648648,0.76973684,0.407738,0.14761092,2.758453,
2024-11-26,920252,24.94,22.35,25.45,22.31,162445,391399483.55,11.67,-16.91,-4.55,28.96,,,,,,,0,,,,,,,24.468,20.843,,,1.8836408,1.07820657,0.80543423,,,,,234465.4,0.69283144,0.13050076,-0.63923608,-0.16914498,2.95591625,
2024-11-27,920252,21.94,22.49,23.53,20.42,113412,252606392.29,13.91,0.63,0.14,20.22,,,,,,,0,,,,,,,23.824,21.416,,,1.84694656,1.23195457,0.61499199,,,,,201783,0.56204933,-0.1252431,-0.25574385,0.00626398,1.83433084,
2024-11-28,920252,22.49,22.3,24.44,21.94,115141,268108858.66,11.12,-0.84,-0.19,20.53,,,,,,,0,,,,,,,23.496,21.931,,,1.78199299,1.34196225,0.44003074,,,,,165926.2,0.69392899,-0.06850459,0.0567385,-0.0084482,1.78452213,
2024-11-29,920252,21.41,21.73,23.13,21.12,110999,243811982.87,9.01,-2.56,-0.57,19.79,,,,,,,0,,,,,,,23.154,22.383,,,1.66532575,1.40663495,0.25869079,,,,,145258.4,0.76414858,-0.07295222,-0.00444762,-0.02556054,1.78680402,
