date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2025-05-13,601138,19.16,18.45,19.16,18.44,1045962,2024574595.0,3.86,-0.97,-0.18,0.53,,,,,,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,
2025-05-14,601138,18.84,18.91,19.39,18.66,1504813,2959459215.0,3.96,2.49,0.46,0.76,,,,,,,0,,,,,,,,,,,0.03669516,0.00733903,0.02935613,,,,,,,,,0.02493225,,
2025-05-15,601138,18.92,18.46,18.92,18.46,806554,1548705746.0,2.43,-2.38,-0.45,0.41,,,,,,,0,,,,,,,,,,,0.02912931,0.01169709,0.01743222,,,,,,,,,-0.02379693,,
2025-05-16,601138,18.36,18.58,18.65,18.23,537079,1028660417.0,2.28,0.65,0.12,0.27,,,,,,,0,,,,,,,,,,,0.03244234,0.01584614,0.0165962,,,,,,,,,0.00650054,,
2025-05-19,601138,18.42,18.41,18.49,18.1,553254,1046353427.0,2.1,-0.91,-0.17,0.28,,,,,,,0,,,,,,,18.562,,,,0.02110706,0.01689832,0.00420873,,,,,889532.4,0.62196048,,,-0.00914962,,
2025-05-20,601138,18.41,18.42,18.56,18.21,397482,756345309.0,1.9,0.05,0.01,0.2,,,,,,,0,,,,,,,18.556,,,,0.01278332,0.01607532,-0.003292,,,,,759836.4,0.52311524,-0.00162602,,0.00054318,0.28771756,
2025-05-21,601138,18.42,18.33,18.42,18.23,329366,624459799.0,1.03,-0.49,-0.09,0.17,,,,,,,0,,,,,,,18.44,,,,-0.00106329,0.0126476,-0.01371089,,,,,524747,0.62766628,-0.0306716,-0.02904559,-0.00488599,0.1821845,
2025-05-22,601138,18.24,18.41,18.62,18.18,544319,1039624102.0,2.4,0.44,0.08,0.27,,,,,,,0,,,,,,,18.43,,,,-0.0055179,0.0090145,-0.01453239,,,,,472300,1.15248571,-0.00270856,0.02796304,0.00436443,0.10281982,
2025-05-23,601138,18.44,18.15,18.76,18.15,536671,1020421967.0,3.31,-1.41,-0.26,0.27,,,,,,,0,,,,,,,18.344,,,,-0.02968583,0.00127443,-0.03096026,,,,,472218.4,1.13648896,-0.02314316,-0.02043461,-0.01412276,0.11726324,
2025-05-26,601138,18.2,18.12,18.26,18.01,381887,716195619.0,1.38,-0.17,-0.03,0.19,,,,,,,0,,,,,,,18.286,18.424,,,-0.05067568,-0.00911559,-0.04156009,,,,,437945,0.87199763,-0.01575231,0.00739086,-0.00165289,0.11105427,
2025-05-27,601138,18.12,17.83,18.12,17.75,432192,799701202.0,2.04,-1.6,-0.29,0.22,,,,,,,0,,,,,,,18.168,18.362,,,-0.08967712,-0.02522789,-0.06444923,,,,,444887,0.97146466,-0.0320304,-0.01627809,-0.01600442,0.13576366,
2025-05-28,601138,17.86,17.94,18.04,17.76,331845,616336260.0,1.57,0.62,0.11,0.17,,,,,,,0,,,,,,,18.09,18.265,,,-0.11043692,-0.0422697,-0.06816722,,,,,445382.8,0.74507817,-0.0212766,0.01075381,0.00616938,0.16366041,
2025-05-29,601138,18.17,19.06,19.21,18.17,1769327,3465261644.0,5.8,6.24,1.12,0.89,,,,,,,0,,,,,,,18.22,18.325,,,-0.03609844,-0.04103545,0.004937,,,,,690384.4,2.56281428,0.0353069,0.05658349,0.06243032,0.5096431,
2025-05-30,601138,18.68,18.29,18.75,18.29,935605,1784380335.0,2.41,-4.04,-0.77,0.47,,,,,,,0,,0.53928571,0.02948528,,,,18.248,18.296,,,-0.03886917,-0.04060219,0.00173302,,,,,770171.2,1.21480133,0.0077135,-0.0275934,-0.04039874,0.60470751,
2025-06-03,601138,18.18,18.15,18.32,18.12,497426,936626287.0,1.09,-0.77,-0.14,0.25,,,,,,,0,,0.50214286,0.02766627,,,,18.254,18.27,,,-0.05176511,-0.04283478,-0.00893033,,,,,793279,0.62705051,0.00165563,-0.00605787,-0.00765446,0.60854831,
