date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2023-11-09,688981,58.01,57.0,58.61,56.87,240178,1380902451.0,2.98,-2.25,-1.31,1.22,,,,,,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,
2023-11-10,688981,55.55,54.39,56.18,53.93,497181,2731319262.0,3.95,-4.58,-2.61,2.52,,,,,,,0,,,,,,,,,,,-0.20820513,-0.04164103,-0.1665641,,,,,,,,,-0.04578947,,
2023-11-13,688981,54.56,54.24,54.88,53.63,249508,1350562376.0,2.3,-0.28,-0.15,1.26,,,,,,,0,,,,,,,,,,,-0.38092191,-0.1094972,-0.27142471,,,,,,,,,-0.00275786,,
2023-11-14,688981,54.22,54.65,54.88,53.96,229617,1248172525.0,1.7,0.76,0.41,1.16,,,,,,,0,,,,,,,,,,,-0.47919378,-0.18343652,-0.29575726,,,,,,,,,0.007559,,
2023-11-15,688981,55.02,54.32,55.19,54.32,197293,1078282399.0,1.59,-0.6,-0.33,1.0,,,,,,,0,,,,,,,54.92,,,,-0.5770513,-0.26215947,-0.31489183,,,,,282755.4,0.69775148,,,-0.00603843,,
2023-11-16,688981,54.01,53.42,54.2,53.25,198555,1064433885.0,1.75,-1.66,-0.9,1.01,,,,,,,0,,,,,,,54.204,,,,-0.71893909,-0.3535154,-0.36542369,,,,,274430.8,0.72351573,-0.06280702,,-0.01656848,0.32373161,
2023-11-17,688981,54.0,53.7,54.07,53.38,153105,821891004.0,1.29,0.52,0.28,0.78,,,,,,,0,,,,,,,54.066,,,,-0.79957551,-0.44272742,-0.35684809,,,,,205615.6,0.74461763,-0.01268616,0.05012086,0.00524148,0.15301048,
2023-11-20,688981,53.57,53.92,54.31,53.22,195937,1053080949.0,2.03,0.41,0.22,0.99,,,,,,,0,,,,,,,54.002,,,,-0.83609036,-0.52140001,-0.31469036,,,,,194901.4,1.00531346,-0.00589971,0.00678645,0.00409683,0.15990227,
2023-11-21,688981,53.98,53.61,54.34,53.58,156090,843669046.0,1.41,-0.57,-0.31,0.79,,,,,,,0,,,,,,,53.794,,,,-0.87990012,-0.59310003,-0.28680009,,,,,180196,0.86622345,-0.01903019,-0.01313049,-0.00574926,0.14108514,
2023-11-22,688981,53.42,52.64,53.79,52.63,167712,893395082.0,2.16,-1.81,-0.97,0.85,,,,,,,0,,,,,,,53.458,54.189,,,-0.98157557,-0.67079514,-0.31078043,,,,,174279.8,0.96231462,-0.03092784,-0.01189764,-0.01809364,0.17499773,
2023-11-23,688981,52.5,53.38,53.46,52.42,142333,753895794.0,1.98,1.41,0.74,0.72,,,,,,,0,,,,,,,53.45,53.827,,,-0.99101843,-0.7348398,-0.25617864,,,,,163035.4,0.87301899,-0.00074878,0.03017905,0.01405775,0.19478988,
2023-11-24,688981,53.2,54.09,54.2,53.15,182634,981410035.0,1.97,1.33,0.71,0.93,,,,,,,0,,,,,,,53.528,53.797,,,-0.93048486,-0.77396881,-0.15651605,,,,,168941.2,1.08105069,0.00726257,0.00801135,0.01330086,0.21594012,
